id,smoking
159256,0.65870994
159257,0.10153673
159258,0.6664567
159259,0.01491568
159260,0.6315483
159261,0.9042747
159262,0.5583133
159263,0.02454606
159264,0.1244377
159265,0.018202215
159266,0.39263692
159267,0.1325321
159268,0.0043572467
159269,0.06982826
159270,0.005333827
159271,0.6796172
159272,0.88423747
159273,0.65376586
159274,0.078173414
159275,0.35257673
159276,0.23796876
159277,0.89613503
159278,0.58191264
159279,0.8240494
159280,0.04165662
159281,0.920322
159282,0.7889219
159283,0.67680824
159284,0.7310474
159285,0.0026505108
159286,0.6493481
159287,0.016469574
159288,0.19035387
159289,0.64148206
159290,0.41792324
159291,0.63121563
159292,0.033950526
159293,0.05597548
159294,0.102747634
159295,0.6008916
159296,0.7704593
159297,0.003905652
159298,0.34216887
159299,0.0041153883
159300,0.008547955
159301,0.017562801
159302,0.06905089
159303,0.13564669
159304,0.16688405
159305,0.73557806
159306,0.6886049
159307,0.08645998
159308,0.2896996
159309,0.05972995
159310,0.57025194
159311,0.6917795
159312,0.33889812
159313,0.52297515
159314,0.7757907
159315,0.6251879
159316,0.018175269
159317,0.57228273
159318,0.27867228
159319,0.6633425
159320,0.7277971
159321,0.11321781
159322,0.7801873
159323,0.7288929
159324,0.44356203
159325,0.45594102
159326,0.82724553
159327,0.6911779
159328,0.6543318
159329,0.45040607
159330,0.01386908
159331,0.72698474
159332,0.0048973053
159333,0.005297433
159334,0.348473
159335,0.08992117
159336,0.53101707
159337,0.8940539
159338,0.4639962
159339,0.8575889
159340,0.5807595
159341,0.87644595
159342,0.77653736
159343,0.48105803
159344,0.5180422
159345,0.017579963
159346,0.61918974
159347,0.7619713
159348,0.78933
159349,0.027389234
159350,0.010108277
159351,0.7012781
159352,0.7504811
159353,0.22463092
159354,0.009397432
159355,0.8683461
159356,0.818548
159357,0.9610821
159358,0.33218288
159359,0.76484007
159360,0.07739767
159361,0.7915815
159362,0.01197084
159363,0.64963603
159364,0.7093976
159365,0.7929754
159366,0.0027036797
159367,0.3804187
159368,0.44512582
159369,0.77984536
159370,0.21455339
159371,0.49151513
159372,0.1353062
