id,smoking
159256,0.67422473
159257,0.2562991
159258,0.45875537
159259,0.020538079
159260,0.6058216
159261,0.9206325
159262,0.51732266
159263,0.073805146
159264,0.14241521
159265,0.03191778
159266,0.43003497
159267,0.15271774
159268,0.0050203996
159269,0.121559344
159270,0.018738126
159271,0.779729
159272,0.8272479
159273,0.7457925
159274,0.053067528
159275,0.28895137
159276,0.3862665
159277,0.9085727
159278,0.57781816
159279,0.80139446
159280,0.040050007
159281,0.89208984
159282,0.8755049
159283,0.71298534
159284,0.7618101
159285,0.004277169
159286,0.72099644
159287,0.015142649
159288,0.13135627
159289,0.7319128
159290,0.49562022
159291,0.5716128
159292,0.03884415
159293,0.08333187
159294,0.23051818
159295,0.49441648
159296,0.7593211
159297,0.009198864
159298,0.2541869
159299,0.0041237157
159300,0.00758372
159301,0.01748726
159302,0.074776754
159303,0.17060214
159304,0.24262112
159305,0.77998126
159306,0.7598535
159307,0.14903562
159308,0.42087635
159309,0.091420434
159310,0.5577438
159311,0.68785113
159312,0.29630437
159313,0.5791761
159314,0.8258538
159315,0.5937321
159316,0.01155126
159317,0.6713082
159318,0.29358992
159319,0.7171629
159320,0.71882296
159321,0.14663193
159322,0.8366283
159323,0.58498544
159324,0.33408782
159325,0.5069376
159326,0.75276953
159327,0.741994
159328,0.5679173
159329,0.40486225
159330,0.011869842
159331,0.7876431
159332,0.008852044
159333,0.0048984205
159334,0.31827223
159335,0.14186338
159336,0.51003283
159337,0.8106339
159338,0.50707805
159339,0.9219047
159340,0.5038716
159341,0.8486063
159342,0.7728923
159343,0.41559315
159344,0.44977275
159345,0.014107789
159346,0.52161527
159347,0.7525046
159348,0.7957019
159349,0.008233886
159350,0.018230498
159351,0.6466152
159352,0.6493772
159353,0.24952523
159354,0.015338693
159355,0.8416332
159356,0.8374952
159357,0.83668816
159358,0.3211204
159359,0.68373513
159360,0.041380227
159361,0.74918246
159362,0.018654665
159363,0.7930685
159364,0.7846621
159365,0.8011055
159366,0.0074007194
159367,0.47936743
159368,0.51592726
159369,0.7323899
159370,0.3829399
159371,0.46526492
159372,0.15975611
159373,0.7691209
159374,0.41446123
159375,0.9177939
159376,0.8241005
159377,0.0026104418
159378,0.7741529
159379,0.36038333
159380,0.0706137
159381,0.0413811
159382,0.53746635
159383,0.02162835
159384,0.4965505
159385,0.067715146
159386,0.57912964
159387,0.9147847
159388,0.6226884
159389,0.0024381392
159390,0.72061735
159391,0.3237906
159392,0.79461896
159393,0.030304214
159394,0.115639895
159395,0.8928314
159396,0.87912047
159397,0.70086646
159398,0.86487216
159399,0.823384
159400,0.624656
159401,0.77937955
159402,0.017626025
159403,0.030080102
159404,0.85617596
159405,0.015701247
159406,0.07809748
159407,0.028135093
159408,0.01295986
159409,0.7873958
159410,0.5828548
159411,0.84163177
159412,0.7338496
159413,0.8237215
159414,0.078389294
159415,0.3772734
159416,0.46138182
159417,0.42706645
159418,0.68819946
159419,0.020299572
159420,0.6990403
159421,0.48333457
159422,0.19716483
159423,0.007849083
159424,0.020021442
159425,0.7222285
159426,0.044589084
159427,0.049244534
159428,0.0036601576
159429,0.12934847
159430,0.012718085
159431,0.81632805
159432,0.020152261
159433,0.06165329
159434,0.2715931
159435,0.60448635
159436,0.7513974
159437,0.054659337
159438,0.79101586
159439,0.17104143
159440,0.039247826
159441,0.92382807
159442,0.24520144
159443,0.03250369
159444,0.0637706
159445,0.6678457
159446,0.83432555
159447,0.4797838
159448,0.7523241
159449,0.475181
159450,0.005730054
159451,0.8699612
159452,0.5966648
159453,0.019079627
159454,0.49869236
159455,0.8138751
159456,0.0059304223
159457,0.4040065
159458,0.6234936
159459,0.6069941
159460,0.10748134
159461,0.68207794
159462,0.10277289
159463,0.016709184
159464,0.32677177
159465,0.34275776
159466,0.043659184
159467,0.8137617
159468,0.89065415
159469,0.6741137
159470,0.8629184
159471,0.72779596
159472,0.7307434
159473,0.12538321
159474,0.38576135
159475,0.34123138
159476,0.013767865
159477,0.068571396
159478,0.7873568
159479,0.06792022
159480,0.43807375
159481,0.1176746
159482,0.78173083
159483,0.027526595
159484,0.03034714
159485,0.5177781
159486,0.07703144
159487,0.078014724
159488,0.561147
159489,0.08835935
159490,0.5884835
159491,0.9096255
159492,0.18893357
159493,0.82277054
159494,0.024415655
159495,0.0036013247
159496,0.7301952
159497,0.47821695
159498,0.3454729
159499,0.68727267
159500,0.098038055
159501,0.60072017
159502,0.84426284
159503,0.026367819
159504,0.67134184
159505,0.017784122
159506,0.83262414
159507,0.723963
159508,0.7891475
159509,0.91179365
159510,0.018977562
159511,0.006895977
159512,0.03217619
159513,0.16009751
159514,0.10043886
159515,0.66592574
159516,0.5993084
159517,0.016227927
159518,0.017146934
159519,0.1012695
159520,0.20232645
159521,0.89297587
159522,0.79467505
159523,0.0045059174
159524,0.7380047
159525,0.009643479
159526,0.20426393
159527,0.011576686
159528,0.3677439
159529,0.87920314
159530,0.6872625
159531,0.10745119
159532,0.93116885
159533,0.7955331
159534,0.5988473
159535,0.48419407
159536,0.014017789
159537,0.27051428
159538,0.76397353
159539,0.83033186
159540,0.0055618673
159541,0.20672953
159542,0.33566365
159543,0.010555234
159544,0.5903761
159545,0.5924805
159546,0.5707486
159547,0.69688755
159548,0.59656554
159549,0.032604083
159550,0.009445864
159551,0.71531415
159552,0.7990148
159553,0.43933454
159554,0.11709449
159555,0.93831915
159556,0.8989116
159557,0.87482834
159558,0.19632372
159559,0.72675604
159560,0.025440369
159561,0.92511815
159562,0.8978715
159563,0.20944417
159564,0.030771412
159565,0.07297709
159566,0.2424345
159567,0.8597949
159568,0.7633341
159569,0.0129935555
159570,0.8054755
159571,0.09610973
159572,0.42830688
159573,0.02312495
159574,0.8434166
159575,0.01867693
159576,0.12960576
159577,0.72005737
159578,0.3427043
159579,0.03030483
159580,0.62556463
159581,0.062835746
159582,0.4735104
159583,0.78750086
159584,0.2964463
159585,0.4867429
159586,0.35984337
159587,0.9188062
159588,0.88520145
159589,0.82345873
159590,0.8951209
159591,0.62631655
159592,0.018875197
159593,0.72654784
159594,0.034543086
159595,0.82238805
159596,0.79607815
159597,0.41236717
159598,0.01581206
159599,0.011659564
159600,0.0067284172
159601,0.6411772
159602,0.08212359
159603,0.581536
159604,0.24432974
159605,0.32614654
159606,0.0063261967
159607,0.018567272
159608,0.8744381
159609,0.5499839
159610,0.0040738313
159611,0.01445061
159612,0.7208163
159613,0.8479416
159614,0.0163122
159615,0.015723245
